ADD 1
ADDI 2
SUB 1
ANA 1
DQ 2
DB 1
DC 1
HLT 1
JMP 3
JP 3
JN 3
JZ 3
JNZ 3
LDA 3
MOV 1
MVI 2
ORA 1
POP 1
PUSH 1
CMP 1
STA 3
SUI 2
SYSCALL 1
EXTERN 1
PUBLIC 1
